image_url;A;B;C;doubleAgreement;tripleAgreement
IMG_01457.png;[(616, 319), (820, 286), (986, 522), (880, 521), (918, 549), (899, 410), (477, 350), (633, 420), (436, 614), (516, 733), (902, 625), (1008, 702), (976, 575), (424, 681), (304, 735), (204, 649), (145, 506), (271, 393), (370, 384), (387, 220), (436, 180), (272, 133), (245, 59), (189, 30), (141, 382), (199, 387), (34, 382), (66, 515), (714, 51)];[(883, 526), (519, 736), (432, 697), (364, 701), (210, 651), (268, 385), (637, 312), (820, 289), (483, 351), (29, 379), (195, 29)];[(267, 389), (137, 505), (426, 670), (522, 740), (877, 520), (625, 323), (468, 355), (180, 29), (282, 163), (138, 371), (908, 625)];[(627, 319), (820, 288), (881, 523), (477, 353), (520, 737), (905, 625), (428, 683), (207, 650), (141, 506), (269, 390), (189, 30), (140, 377), (32, 381)];[(626, 318), (880, 523), (476, 352), (519, 737), (428, 683), (269, 389), (188, 30)]
IMG_01458.png;[(763, 186), (623, 205), (629, 432), (450, 347), (348, 337), (302, 332), (237, 372), (120, 396), (182, 81), (479, 33), (631, 555), (496, 650), (543, 679), (285, 652), (327, 723), (170, 708), (119, 740), (834, 194), (532, 437)];[(768, 180), (605, 217), (292, 638), (326, 714), (499, 647), (629, 556), (627, 425), (123, 739), (444, 353)];[(628, 429), (130, 400), (203, 493), (291, 639), (498, 651), (625, 555), (768, 179), (603, 213), (456, 350), (183, 68)];[(767, 182), (611, 212), (629, 429), (451, 351), (125, 398), (183, 75), (629, 556), (498, 650), (290, 643), (327, 719), (121, 740)];[(767, 182), (611, 212), (628, 429), (450, 350), (629, 556), (498, 650), (290, 643)]
IMG_01459.png;[(441, 451), (409, 475), (130, 339), (44, 223), (776, 199), (635, 153), (743, 252), (658, 288), (813, 338), (730, 326), (742, 617), (807, 756), (721, 755), (37, 650), (1003, 369), (48, 314)];[(654, 148), (21, 640), (83, 564), (53, 222), (125, 344), (984, 633), (744, 617), (739, 235)];[(620, 175), (823, 340), (778, 205), (17, 648), (441, 454), (47, 223)];[(441, 453), (128, 342), (48, 223), (777, 202), (637, 158), (741, 244), (818, 339), (743, 617), (26, 647)];[(48, 223), (25, 646)]
IMG_01460.png;[(260, 449), (82, 387), (554, 663), (668, 690), (778, 612), (711, 163), (499, 148), (332, 561), (251, 635), (114, 483), (902, 193), (531, 96)];[(246, 442), (84, 387), (567, 661), (782, 613), (714, 164), (774, 106), (505, 148)];[(243, 439), (822, 597), (678, 685), (715, 159), (774, 100), (941, 157)];[(250, 444), (83, 387), (561, 662), (673, 688), (780, 613), (714, 163), (502, 148), (774, 103)];[(250, 444), (714, 162)]
IMG_01461.png;[(754, 606), (901, 353), (567, 505), (522, 508), (290, 375), (295, 163), (550, 465), (1001, 251), (944, 143), (759, 201), (650, 163), (438, 67), (150, 626), (912, 709), (52, 73)];[(51, 78), (284, 165), (907, 713), (789, 757), (743, 623), (899, 359), (430, 313), (154, 632)];[(283, 165), (764, 203), (900, 362), (741, 624), (55, 61), (521, 511)];[(746, 619), (901, 359), (522, 510), (288, 165), (762, 202), (152, 629), (910, 711), (53, 72)];[(746, 618), (900, 358), (288, 165), (53, 71)]
IMG_01462.png;[(761, 569), (748, 720), (702, 496), (519, 703), (425, 56), (396, 327), (175, 237), (644, 38), (968, 342), (854, 622), (801, 669), (668, 627), (497, 507), (487, 458), (351, 261), (681, 118), (22, 569), (96, 281), (223, 275)];[(771, 568), (707, 501), (754, 734), (524, 690), (24, 568), (791, 294), (352, 260)];[(771, 556), (768, 716), (705, 500), (421, 54), (194, 244)];[(768, 565), (758, 724), (706, 500), (522, 697), (423, 55), (185, 241), (352, 261), (23, 569)];[(768, 565), (757, 724), (705, 499)]
IMG_01463.png;[(36, 645), (119, 660), (36, 550), (174, 555), (129, 352), (228, 96), (559, 180), (753, 727), (930, 493), (431, 533), (502, 561), (289, 209), (924, 279), (958, 361), (38, 138)];[(431, 544), (747, 729), (927, 281), (561, 188), (225, 99), (249, 223), (72, 274), (63, 23), (34, 650)];[(104, 312), (146, 657), (934, 270), (961, 360)];[(35, 648), (133, 659), (227, 98), (560, 184), (750, 728), (431, 539), (929, 277), (960, 361)];[(929, 277)]
IMG_01464.png;[(559, 519), (672, 295), (833, 174), (292, 731), (72, 182), (264, 79), (306, 112), (655, 167), (711, 105), (927, 87), (994, 314), (828, 451), (236, 441), (497, 381)];[(294, 735), (72, 182), (91, 499), (309, 115), (659, 175), (991, 318)];[(534, 540), (835, 179), (816, 449), (311, 112)];[(834, 177), (293, 733), (72, 182), (310, 114), (657, 171), (993, 316), (822, 450)];[(309, 113)]
IMG_01465.png;[(407, 226), (321, 162), (288, 116), (775, 189), (955, 205), (961, 606), (631, 331), (668, 287), (599, 516), (696, 734), (241, 562), (346, 506), (227, 406), (297, 343), (974, 53), (639, 34), (546, 67)];[(183, 406), (246, 568), (130, 504), (110, 252), (963, 614), (970, 209), (654, 20)];[(390, 221), (320, 166), (168, 401), (619, 337), (972, 610), (951, 208), (541, 68), (96, 240)];[(399, 224), (321, 164), (960, 208), (966, 611), (625, 334), (244, 565), (647, 27), (544, 68), (176, 404), (103, 246)];[(959, 208), (966, 610)]
IMG_01466.png;[(152, 453), (115, 485), (93, 544), (299, 630), (56, 672), (828, 414), (930, 241), (900, 73), (480, 164), (602, 204)];[(88, 542), (115, 483), (201, 492), (144, 448), (56, 676), (301, 626), (998, 639), (975, 682), (825, 418), (924, 243), (647, 164), (482, 160), (172, 92)];[(834, 413), (281, 256), (493, 162), (82, 534), (941, 230)];[(148, 451), (115, 484), (88, 541), (300, 628), (56, 674), (830, 416), (932, 239), (486, 163)];[(88, 540), (829, 415), (932, 238), (485, 162)]
