image_url;point;polygon
IMG_01457.png;(627, 319);[(720, 288), (725, 294), (731, 300), (737, 302), (734, 313), (717, 321), (683, 322), (666, 327), (640, 334), (620, 340), (608, 348), (583, 358), (572, 365), (556, 364), (540, 363), (532, 347), (527, 340), (520, 326), (527, 321), (548, 315), (571, 310), (606, 302), (700, 287), (715, 284), (724, 283)]
IMG_01457.png;(820, 288);[(823, 268), (835, 271), (856, 276), (898, 281), (903, 285), (912, 296), (911, 285), (912, 267), (918, 257), (930, 276), (935, 291), (942, 298), (952, 297), (958, 294), (975, 314), (985, 315), (1000, 314), (1016, 322), (1017, 331), (985, 335), (971, 340), (954, 343), (931, 330), (896, 323), (865, 311), (827, 311), (788, 310), (754, 302), (740, 297), (726, 297), (717, 288), (738, 277), (765, 277), (781, 276), (783, 267), (767, 262), (751, 262), (744, 265), (744, 254), (762, 248), (777, 246), (796, 250), (810, 251), (818, 258), (817, 267)]
IMG_01457.png;(881, 523);[(871, 542), (859, 527), (848, 526), (858, 509), (899, 510), (900, 515), (914, 526)]
IMG_01457.png;(477, 353);[(427, 358), (479, 342), (522, 329), (523, 342), (502, 350), (480, 370), (468, 370), (468, 363), (459, 361), (443, 371), (431, 366)]
IMG_01457.png;(520, 737);[(511, 717), (556, 721), (556, 729), (536, 734), (517, 759), (502, 749), (498, 741), (479, 739), (479, 730)]
IMG_01457.png;(905, 625);[(883, 637), (890, 628), (891, 621), (898, 613), (901, 610), (896, 608), (895, 600), (893, 597), (902, 590), (909, 587), (916, 579), (911, 590), (909, 600), (911, 602), (915, 606), (914, 615), (911, 628), (914, 632), (921, 637), (925, 640), (920, 640), (916, 639), (903, 639), (891, 640)]
IMG_01457.png;(428, 683);[(396, 667), (403, 666), (410, 684), (409, 691), (416, 696), (396, 721), (395, 724), (414, 726), (399, 736), (414, 743), (428, 737), (438, 731), (442, 725), (438, 717), (445, 692), (449, 680), (429, 655), (443, 661), (459, 661), (476, 661), (491, 655), (487, 645), (462, 643), (445, 636), (433, 630), (420, 628), (414, 628), (401, 647), (380, 656), (385, 665)]
IMG_01457.png;(207, 650);[(210, 632), (216, 637), (223, 640), (231, 645), (232, 655), (227, 662), (213, 665), (194, 668), (182, 681), (175, 686), (166, 705), (106, 767), (90, 765), (87, 761), (92, 756), (203, 636)]
IMG_01457.png;(141, 506);[(179, 462), (183, 483), (181, 493), (176, 504), (167, 513), (160, 524), (154, 534), (140, 539), (129, 538), (124, 531), (116, 529), (103, 531), (100, 527), (106, 515), (114, 505), (118, 489), (130, 474), (143, 469), (151, 472), (157, 469), (167, 460), (179, 459)]
IMG_01457.png;(269, 390);[(218, 408), (220, 404), (222, 399), (225, 389), (227, 376), (231, 374), (237, 374), (241, 374), (246, 374), (251, 374), (256, 374), (261, 374), (267, 374), (275, 375), (281, 376), (283, 377), (290, 376), (295, 375), (297, 373), (301, 370), (302, 363), (308, 353), (309, 353), (315, 362), (317, 365), (320, 371), (323, 374), (325, 377), (331, 381), (340, 388), (344, 390), (328, 391), (313, 393), (305, 396), (293, 398), (282, 401), (275, 403), (252, 409), (243, 410), (234, 411), (224, 416), (216, 419), (200, 410), (192, 409), (186, 407), (191, 400), (195, 397), (200, 397), (203, 397), (209, 400), (215, 407)]
